"","Pclass","Sex","Age","SibSp","Embarked","Survived"
"1",3,2,5,1,3,"NO"
"2",1,1,8,1,1,"YES"
"3",3,1,6,1,3,"YES"
"5",3,2,7,1,3,"NO"
"6",3,2,5,1,2,"NO"
"10",2,1,3,1,1,"YES"
"12",1,1,12,1,3,"YES"
"13",3,2,4,1,3,"NO"
"14",3,2,8,1,3,"NO"
"15",3,1,3,1,3,"NO"
"18",2,2,6,1,3,"YES"
"20",3,1,5,1,1,"YES"
"22",2,2,7,1,3,"YES"
"23",3,1,3,1,2,"YES"
"24",1,2,6,1,3,"YES"
"28",1,2,4,2,3,"NO"
"30",3,2,5,1,3,"NO"
"31",1,2,8,1,1,"NO"
"32",1,1,8,1,1,"YES"
"33",3,1,5,1,2,"YES"
"34",2,2,14,1,3,"NO"
"36",1,2,9,1,3,"NO"
"37",3,2,5,1,1,"YES"
"38",3,2,5,1,3,"NO"
"39",3,1,4,1,3,"NO"
"40",3,1,3,1,1,"YES"
"41",3,1,8,1,3,"NO"
"42",2,1,6,1,3,"NO"
"45",3,1,4,1,2,"YES"
"46",3,2,5,1,3,"NO"
"47",3,2,5,1,2,"NO"
"49",3,2,5,1,1,"NO"
"50",3,1,4,1,3,"NO"
"52",3,2,5,1,3,"NO"
"53",1,1,10,1,1,"YES"
"54",2,1,6,1,3,"YES"
"55",1,2,13,1,1,"NO"
"56",1,2,8,1,3,"YES"
"57",2,1,5,1,3,"YES"
"59",2,1,1,1,3,"YES"
"61",3,2,5,1,1,"NO"
"62",1,2,9,1,3,"NO"
"63",3,2,1,2,3,"NO"
"64",1,2,8,1,1,"NO"
"65",3,2,5,1,1,"YES"
"66",2,1,6,1,3,"YES"
"70",2,2,7,1,3,"NO"
"71",3,1,4,3,3,"NO"
"72",2,2,5,1,3,"NO"
"73",3,2,6,1,1,"NO"
"74",3,2,7,1,3,"YES"
"75",3,2,5,1,3,"NO"
"76",3,2,5,1,3,"NO"
"77",3,2,5,1,3,"NO"
"78",2,2,1,1,3,"YES"
"79",3,1,6,1,3,"YES"
"80",3,2,5,1,3,"NO"
"81",3,2,6,1,3,"YES"
"82",3,1,5,1,2,"YES"
"83",1,2,6,1,3,"NO"
"84",2,1,4,1,3,"YES"
"86",3,2,4,1,3,"NO"
"87",3,2,5,1,3,"NO"
"90",3,2,6,1,3,"NO"
"91",3,2,4,1,3,"NO"
"92",1,2,10,1,3,"NO"
"93",3,2,6,1,3,"NO"
"94",3,2,12,1,3,"NO"
"95",3,2,5,1,3,"NO"
"96",1,2,15,1,1,"NO"
"97",1,2,5,1,1,"YES"
"98",2,1,7,1,3,"YES"
"99",2,2,7,1,3,"NO"
"100",3,1,6,1,3,"NO"
